T,Coxs I,Qki,Qki-1,Qki+1
623,165.238,317.579,399.775,269.088
624,138.636,269.088,317.579,233.136
625,128.136,233.136,269.088,208.124
626,127.903,208.124,233.136,187.033
627,120.687,187.033,208.124,175.466
628,113.619,175.466,187.033,173.83
629,128.139,173.83,175.466,165.116
630,134.406,165.116,173.83,161.485
631,126.203,161.485,165.116,147.618
632,117.464,147.618,161.485,132.792
633,106.036,132.792,147.618,125.052
634,98.564,125.052,132.792,121.526
635,94.414,121.526,125.052,119.524
636,89.058,119.524,121.526,109.413
637,84.629,109.413,119.524,101.971
638,81.166,101.971,109.413,95.989
639,78.663,95.989,101.971,101.916
640,86.212,101.916,95.989,123.438
641,149.615,123.438,101.916,192.887
642,145.553,192.887,123.438,164.057
643,118.501,164.057,192.887,124.24
644,112.057,124.24,164.057,108.085
645,99.575,108.085,124.24,96.676
646,97.756,96.676,108.085,93.005
647,114.944,93.005,96.676,90.075
648,102.429,90.075,93.005,92.265
649,96.331,92.265,90.075,97.254
650,149.17,97.254,92.265,271.149
651,157.911,271.149,97.254,203.478
652,135.222,203.478,271.149,165.741
653,120.3,165.741,203.478,160.316
654,111.664,160.316,165.741,135.384
655,106.29,135.384,160.316,115.997
656,100.661,115.997,135.384,105.594
657,91.379,105.594,115.997,97.338
658,84.818,97.338,105.594,90.714
659,79.667,90.714,97.338,85.467
660,74.289,85.467,90.714,80.376
661,68.85,80.376,85.467,76.98
662,65.525,76.98,80.376,74.625
663,63.712,74.625,76.98,75.946
664,60.658,75.946,74.625,81.593
665,55.716,81.593,75.946,72.202
666,52.367,72.202,81.593,64.483
667,49.439,64.483,72.202,59.895
668,46.677,59.895,64.483,56.329
669,44.764,56.329,59.895,51.671
670,43.45,51.671,56.329,48.604
671,42.064,48.604,51.671,48.081
672,41.075,48.081,48.604,46.645
673,40.388,46.645,48.081,44.693
674,40.017,44.693,46.645,46.588
675,41.189,46.588,44.693,50.244
676,45.952,50.244,46.588,70.629
677,56.254,70.629,50.244,121.011
678,65.951,121.011,70.629,98.894
679,70.212,98.894,121.011,78.888
680,64.085,78.888,98.894,71.601
681,59.155,71.601,78.888,63.132
682,56.179,63.132,71.601,56.156
683,53.577,56.156,63.132,55.62
684,52.43,55.62,56.156,57.959
685,49.568,57.959,55.62,55.764
686,48.976,55.764,57.959,53.429
687,49.135,53.429,55.764,59.591
688,58.778,59.591,53.429,83.625
689,77.689,83.625,59.591,162.59
690,78.031,162.59,83.625,122.688
691,69.477,122.688,162.59,98.97
692,61.259,98.97,122.688,82.916
693,56.258,82.916,98.97,71.492
694,58.578,71.492,82.916,62.813
695,54.423,62.813,71.492,57.718
696,48.366,57.718,62.813,51.506
697,44.986,51.506,57.718,46.061
698,42.002,46.061,51.506,42.635
699,39.455,42.635,46.061,40.702
700,36.351,40.702,42.635,37.003
701,33.983,37.003,40.702,34.562
702,30.643,34.562,37.003,31.788
703,27.959,31.788,34.562,29.997
704,25.534,29.997,31.788,28.164
705,24.228,28.164,29.997,26.906
706,23.1,26.906,28.164,31.397
707,26.568,31.397,26.906,35.872
708,26.063,35.872,31.397,47.263
709,28.113,47.263,35.872,46.207
710,31.181,46.207,47.263,39.616
711,32.414,39.616,46.207,32.849
712,30.255,32.849,39.616,28.686
713,28.953,28.686,32.849,25.921
714,31.272,25.921,28.686,24.662
715,33.049,24.662,25.921,22.741
716,35.268,22.741,24.662,20.473
717,33.516,20.473,22.741,19.49
718,26.765,19.49,20.473,17.499
719,23.207,17.499,19.49,16.667
720,21.221,16.667,17.499,15.241
721,17.617,15.241,16.667,13.055
722,14.24,13.055,15.241,10.824
723,12.267,10.824,13.055,8.319
724,8.743,8.319,10.824,6.36
725,6.834,6.36,8.319,4.587
726,5.667,4.587,6.36,3.669
727,4.958,3.669,4.587,2.917
728,4.546,2.917,3.669,2.184
729,4.422,2.184,2.917,1.844
730,4.696,1.844,2.184,1.422
731,4.189,1.422,1.844,0.969
732,3.678,0.969,1.422,0.572
733,3.197,0.572,0.969,0.34
734,2.835,0.34,0.572,0.252
735,2.616,0.252,0.34,0.245
736,2.472,0.245,0.252,1.882
737,11.858,1.882,0.245,3.539
738,42.418,3.539,1.882,1.806
739,36.132,1.806,3.539,0.921
740,23.676,0.921,1.806,0.543
741,19.686,0.543,0.921,18.489
742,14.695,18.489,0.543,18.077
743,11.361,18.077,18.489,12.485
744,9.574,12.485,18.077,11.239
745,10.527,11.239,12.485,25.143
746,11.803,25.143,11.239,12.371
747,13.33,12.371,25.143,12.043
748,15.238,12.043,12.371,12.997
749,18.303,12.997,12.043,13.83
750,21.776,13.83,12.997,10.068
751,24.531,10.068,13.83,9.114
752,22.163,9.114,10.068,9.838
753,24.643,9.838,9.114,9.52
754,21.833,9.52,9.838,14.232
755,22.083,14.232,9.52,12.884
756,26.978,12.884,14.232,11.915
757,25.131,11.915,12.884,12.308
758,22.562,12.308,11.915,10.715
759,19.984,10.715,12.308,9.647
760,18.386,9.647,10.715,9.254
761,18.362,9.254,9.647,9.722
762,21.043,9.722,9.254,12.764
763,27.144,12.764,9.722,13.332
764,38.168,13.332,12.764,128.097
765,89.74,128.097,13.332,1978.996
766,1929.79,1978.996,128.097,2032.031
767,2473.909,2032.031,1978.996,1326.319
