N,212250_COXS,212260_KOWMUNG
598,61.32,50.808
599,58.891,55.79
600,56.306,59.268
601,56.032,59.272
602,59.139,65.998
603,58.056,79.682
604,58.406,74.636
605,61.776,73.017
606,95.688,289.233
607,129.101,882.639
608,125.885,725.623
609,120.681,519.758
610,116.461,396.876
611,116.522,319.389
612,116.611,284.299
613,113.637,315.034
614,110.448,277.35
615,104.023,243.881
616,100.366,227.386
617,101.37,203.878
618,99.209,198.446
619,93.316,190.794
620,89.983,173.462
621,117.63,179.085
622,180.764,347.27
623,169.426,399.775
624,165.238,317.579
625,138.636,269.088
626,128.136,233.136
627,127.903,208.124
628,120.687,187.033
629,113.619,175.466
630,128.139,173.83
631,134.406,165.116
632,126.203,161.485
633,117.464,147.618
634,106.036,132.792
635,98.564,125.052
636,94.414,121.526
637,89.058,119.524
638,84.629,109.413
639,81.166,101.971
640,78.663,95.989
641,86.212,101.916
642,149.615,123.438
643,145.553,192.887
644,118.501,164.057
645,112.057,124.24
646,99.575,108.085
647,97.756,96.676
648,114.944,93.005
649,102.429,90.075
650,96.331,92.265
651,149.17,97.254
652,157.911,271.149
653,135.222,203.478
654,120.3,165.741
655,111.664,160.316
656,106.29,135.384
657,100.661,115.997
658,91.379,105.594
659,84.818,97.338
660,79.667,90.714
661,74.289,85.467
662,68.85,80.376
663,65.525,76.98
664,63.712,74.625
665,60.658,75.946
666,55.716,81.593
667,52.367,72.202
668,49.439,64.483
669,46.677,59.895
670,44.764,56.329
671,43.45,51.671
672,42.064,48.604
673,41.075,48.081
674,40.388,46.645
675,40.017,44.693
676,41.189,46.588
677,45.952,50.244
678,56.254,70.629
679,65.951,121.011
680,70.212,98.894
681,64.085,78.888
682,59.155,71.601
683,56.179,63.132
684,53.577,56.156
685,52.43,55.62
686,49.568,57.959
687,48.976,55.764
688,49.135,53.429
689,58.778,59.591
690,77.689,83.625
691,78.031,162.59
692,69.477,122.688
693,61.259,98.97
694,56.258,82.916
695,58.578,71.492
696,54.423,62.813
697,48.366,57.718
698,44.986,51.506
699,42.002,46.061
700,39.455,42.635
701,36.351,40.702
702,33.983,37.003
703,30.643,34.562
704,27.959,31.788
705,25.534,29.997
706,24.228,28.164
707,23.1,26.906
708,26.568,31.397
709,26.063,35.872
710,28.113,47.263
711,31.181,46.207
712,32.414,39.616
713,30.255,32.849
714,28.953,28.686
715,31.272,25.921
716,33.049,24.662
717,35.268,22.741
718,33.516,20.473
719,26.765,19.49
720,23.207,17.499
721,21.221,16.667
722,17.617,15.241
723,14.24,13.055
724,12.267,10.824
725,8.743,8.319
726,6.834,6.36
727,5.667,4.587
728,4.958,3.669
729,4.546,2.917
730,4.422,2.184
731,4.696,1.844
732,4.189,1.422
733,3.678,0.969
734,3.197,0.572
735,2.835,0.34
736,2.616,0.252
737,2.472,0.245
738,11.858,1.882
739,42.418,3.539
740,36.132,1.806
741,23.676,0.921
742,19.686,0.543
743,14.695,18.489
744,11.361,18.077
745,9.574,12.485
746,10.527,11.239
747,11.803,25.143
748,13.33,12.371
749,15.238,12.043
750,18.303,12.997
751,21.776,13.83
752,24.531,10.068
753,22.163,9.114
754,24.643,9.838
755,21.833,9.52
756,22.083,14.232
757,26.978,12.884
758,25.131,11.915
759,22.562,12.308
760,19.984,10.715
761,18.386,9.647
762,18.362,9.254
763,21.043,9.722
764,27.144,12.764
765,38.168,13.332
766,89.74,128.097
767,1929.79,1978.996
768,2473.909,2032.031
769,1502.971,1326.319
770,822.639,785.923
771,553.152,466.113
772,395.712,315.331
773,307.486,237.658
774,261.666,188.792
775,211.673,163.115
776,181.791,133.665
777,157.71,111.38
778,190.278,160.718
779,232.87,226.285
780,838.95,1490.102
781,1373.256,2083.479
782,1005.642,1200.759
783,658.116,756.786
784,471.001,520.35
785,367.418,387.674
786,307.495,309.677
787,279.695,263.052
788,294.279,247.298
789,269.712,229.423
790,244.877,202.261
791,225.388,183.605
792,194.898,158.744
793,177.944,139.193
794,177.124,134.193
795,167.216,124.718
796,159.942,118.98
797,144.894,110.312
798,134.596,102.031
799,134.759,97.459
800,133.153,98.957
801,123.875,97.286
802,114.41,90.971
803,114.852,89.206
804,120.168,87.034
805,115.271,81.882
806,106.815,75.217
807,96.18,69.273
808,86.061,61.726
809,77.824,57.546
810,70.564,53.019
811,64.935,49.623
812,69.037,52.099
813,75.192,55.533
814,71.465,54.059
815,66.223,53.127
816,65.571,53.166
817,110.291,75.324
818,983.934,1345.024
819,2087.195,3614.706
820,3179.439,3056.101
821,1753.609,1898.583
822,1060.159,1087.422
823,710.765,735.745
824,539.998,540.359
825,439.287,442.737
826,380.739,380.472
827,330.606,324.489
828,290.415,285.224
829,262.145,253.169
830,237.944,230.455
831,242.771,220.49
832,311.025,244.519
833,249.487,267.452
834,227.168,247.841
835,299.099,625.406
836,508.812,564.048
837,384.358,390.677
838,404.796,465.062
839,800.145,562.517
840,551.174,361.25
841,460.226,279.901
842,363.916,232.643
843,308.252,204.323
844,286.478,194.216
845,261.867,189.406
846,232.883,169.433
847,212.491,152.933
848,195.835,139.32
849,180.874,127.734
850,172.243,122.15
851,169.127,119.067
852,165.007,116.204
853,156.691,113.657
854,149.26,110.49
855,143.79,105.294
856,139.692,101.387
857,134.51,98.085
858,129.107,94.194
859,122.56,89.892
860,117.353,86.246
861,113.375,82.88
862,108.076,79.772
863,103.259,77.85
864,100.725,75.932
865,99.197,75.419
866,105.022,79.182
867,107.087,78.036
868,102.237,78.73
869,96.028,76.384
870,94.317,74.461
871,100.298,76.124
872,100.286,78.233
873,93.541,87.213
874,91.002,92.013
875,98.592,95.398
876,157.41,110.341
877,233.414,147.896
878,203.757,173.929
879,189.421,158.854
880,194.138,138.978
881,185.875,127.14
882,170.614,118.926
883,169.883,114.047
884,155.884,110.319
885,145.468,106.289
886,137.982,103.193
887,131.97,100.239
888,126.658,98.842
889,121.934,95.773
890,120.835,92.024
891,123.687,87.985
892,114.395,84.755
893,107.974,79.934
894,104.888,75.211
895,101.672,72.073
896,98.89,69.898
897,95.367,69.305
898,94.33,70.074
899,95.86,74.851
900,108.408,77.662
901,133.627,85.966
902,142.883,112.854
903,126.497,127.342
904,119.841,109.47
905,115.09,100.28
906,106.587,94.104
907,100.83,88.478
908,95.719,81.959
909,91.968,75.411
910,88.809,73.239
911,87.065,73.23
912,85.371,74.406
913,83.379,74.89
914,80.945,78.104
915,79.576,77.812
916,77.509,72.111
917,75.693,66.34
918,83.755,67.549
919,101.867,151.177
920,90.676,261.146
921,88.377,213.941
922,88.334,178.2
923,86.159,153.935
924,81.493,136.657
925,78.293,124.514
926,81.448,115.307
927,85.099,110.384
928,84.753,106.898
929,82.62,102.814
930,81.558,94.88
931,81.417,90.863
932,80.139,87.763
933,79.151,83.408
934,78.759,80.048
935,77.943,79.268
936,75.966,78.03
937,74.535,78.292
938,73.547,79.223
939,70.666,77.798
940,69.438,75.118
941,68.149,70.964
942,67.872,68.188
943,68.36,66.815
944,67.513,65.191
945,66.522,64.147
946,67.59,64.699
947,72.471,66.158
948,73.849,68.127
949,69.397,80.282
950,65.291,78.059
951,64.156,69.893
952,64.622,64.537
953,62.347,62.152
954,59.208,60.03
955,56.977,58.281
956,56.361,57.381
957,55.842,58.134
958,55.848,60.887
959,54.607,61.758
960,53.537,58.97
961,53.646,56.338
962,54.182,53.455
963,53.926,51.39
964,52.86,49.894
965,51.908,48.585
966,51.738,47.463
967,51.193,46.675
968,50.398,45.971
969,50.245,46.163
970,50.623,45.607
971,51.063,45.244
972,50.777,46.058
973,51.559,46.062
974,50.872,45.644
975,50.339,45.292
976,49.809,44.963
977,57.718,48.698
978,82.396,51.618
979,73.572,70.372
980,61.871,83.035
981,55.466,64.901
982,53.435,54.254
983,51.311,48.88
984,46.784,45.037
985,43.886,42.598
986,41.938,39.849
987,40.854,37.891
988,40.072,36.347
989,38.821,35.053
990,37.597,33.951
991,36.673,33.64
992,37.551,33.853
993,39.62,33.634
994,37.497,39.689
995,35.26,49.819
996,33.31,43.619
997,31.388,40.384
998,30.783,37.364
999,29.899,33.087
1000,28.283,30.766
1001,26.452,29.074
1002,24.964,27.933
1003,23.301,26.331
1004,22.957,25.19
1005,22.415,24.37
1006,21.956,23.578
1007,21.68,23.245
1008,21.026,23.072
1009,20.613,22.628
1010,19.56,21.738
1011,18.183,20.706
1012,17.372,19.731
1013,16.368,18.204
1014,17.704,19.179
1015,18.414,20.494
1016,19.654,19.627
1017,23.348,19.856
1018,22.315,19.241
1019,20.5,17.871
1020,17.859,17.51
1021,15.224,17.376
1022,13.433,15.553
1023,11.66,13.633
1024,10.35,11.884
1025,9.882,10.734
1026,8.721,9.733
1027,7.966,8.4
1028,7.221,7.121
1029,6.506,6.209
1030,6.139,5.493
1031,6.147,5.089
1032,6.107,4.468
1033,6.032,3.866
1034,6,3.362
1035,5.513,2.975
1036,4.969,2.321
1037,4.685,2.087
1038,4.254,1.859
1039,3.504,1.598
1040,3.03,1.268
1041,2.815,0.881
1042,2.721,0.597
1043,2.495,0.411
1044,2.136,0.287
1045,1.902,0.258
1046,2.074,0.295
1047,2.4,0.252
1048,2.279,0.25
1049,2.376,0.252
1050,2.827,0.245
1051,3.728,0.245
1052,3.912,0.243
1053,4.058,0.243
1054,4.123,0.247
1055,3.313,0.267
1056,3.145,0.359
1057,3.121,0.358
1058,2.885,0.25
1059,2.894,0.247
1060,3.333,0.248
1061,3.048,0.25
1062,2.642,0.246
1063,2.271,0.298
1064,3.673,0.652
1065,6.088,0.361
1066,8.97,0.268
1067,9.269,0.249
1068,6.317,0.243
1069,5.059,0.23
1070,3.777,0.226
1071,2.989,0.23
1072,2.5,0.228
1073,2.046,0.226
1074,1.692,0.223
1075,2.842,0.564
1076,6.189,0.296
1077,13.905,0.242
1078,14.878,0.241
1079,9.232,0.239
1080,6.64,0.235
1081,4.898,0.234
1082,3.734,0.232
1083,3.337,0.233
1084,3.038,0.362
1085,2.529,4.801
1086,2.166,4.256
1087,2.12,3.406
1088,1.876,3.035
1089,1.968,3.078
1090,2.382,2.853
1091,4.269,3.117
1092,4.962,3.283
1093,6.833,3.106
1094,6.693,3.254
1095,7.968,2.465
1096,5.661,1.61
1097,8.21,2.559
1098,9.877,3.228
1099,12.77,2.342
1100,13.538,1.615
1101,8.912,1.139
1102,6.837,0.891
1103,5.817,1.049
1104,4.334,2.149
1105,3.314,1.743
1106,2.719,1.196
1107,2.831,1.3
1108,2.678,2.668
1109,2.014,2.303
1110,1.717,1.635
1111,1.815,1.127
1112,1.898,0.689
1113,1.706,0.521
1114,1.419,0.376
1115,1.19,0.266
1116,1.089,0.239
1117,1.01,0.234
1118,0.978,0.236
1119,0.953,0.239
1120,0.88,0.236
1121,0.839,0.231
1122,0.78,0.231
1123,0.762,0.231
1124,0.701,0.235
1125,0.639,0.235
1126,0.585,0.228
1127,0.528,0.22
1128,0.497,0.216
1129,0.496,0.215
1130,0.52,0.215
1131,0.44,0.214
1132,0.374,0.204
1133,0.365,0.198
1134,0.368,0.192
1135,0.363,0.185
1136,0.314,0.175
1137,0.392,0.181
1138,0.466,0.198
1139,0.409,0.193
1140,0.358,0.184
1141,0.393,0.173
1142,1.04,0.165
1143,2.247,0.158
1144,2.57,0.164
1145,3.374,0
1146,4.203,0
1147,2.982,0
1148,16.157,1.258
1149,138.214,34.143
1150,427.265,245.972
1151,907.006,563.775
1152,396.027,363.733
1153,228.282,210.869
1154,165.752,135.482
1155,143.377,101.128
1156,117.19,75.876
1157,86.875,56.14
1158,66.795,43.963
1159,56.09,36.374
1160,50.942,34.191
1161,47.965,32.189
1162,43.29,26.928
1163,41.082,23.55
1164,40.954,20.948
1165,42.672,52.375
1166,78.677,131.68
1167,1250.68,1108.554
1168,1148.822,1122.364
1169,575.097,609.459
1170,387.456,377.91
1171,462.227,543.798
1172,408.234,488.373
1173,313.884,324.887
1174,247.292,235.981
1175,202.729,186.215
1176,170.187,149.807
1177,147.941,127.662
1178,138.729,128.137
1179,127.266,115.475
1180,115.472,94.789
1181,104.339,87.096
1182,94.769,75.368
1183,86.282,69.776
1184,88.508,76.106
1185,110.499,86.082
1186,100.789,91.402
1187,100.187,97.535
1188,102.276,97.394
1189,97.493,85.184
1190,97.258,82.41
1191,87.956,81.948
1192,82.586,75.273
1193,78.213,67.255
1194,73.572,61.269
1195,68.486,54.849
1196,64.842,50.204
1197,63.291,46.65
1198,61.838,45.979
1199,60.6,43.562
1200,66.77,47.804
1201,74.54,49.255
